,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx662491,00   0,01  55,02  57,03  61,04  60,05  56,06  57,07  54
1,11,xx662520,00   0,01  56,02  54,03  60,04  60,05  56,06  58,07  53
2,11,xx662549,00   0,01  59,02  57,03  61,04  61,05  56,06  58,07  55
3,11,xx662579,00   0,01  57,02  54,03  63,04  60,05  55,06  59,07  53
4,11,xx662608,00   0,01  57,02  54,03  63,04  61,05  55,06  57,07  54
5,11,xx662637,00   0,01  60,02  54,03  63,04  62,05  55,06  55,07  54
6,11,xx662666,00   0,01  58,02  58,03  63,04  63,05  55,06  61,07  54
7,11,xx662696,00   0,01  59,02  60,03  64,04  62,05  55,06  56,07  53
8,11,xx662725,00   0,01  58,02  57,03  63,04  63,05  57,06  61,07  53
9,11,xx662754,00   0,01  60,02  57,03  64,04  63,05  56,06  56,07  54
10,11,xx662784,00   0,01  58,02  59,03  64,04  63,05  56,06  57,07  54
11,11,xx662813,00   0,01  57,02  56,03  64,04  62,05  54,06  57,07  55
12,11,xx662842,00   0,01  59,02  54,03  64,04  63,05  56,06  54,07  57
13,11,xx662872,00   0,01  57,02  58,03  65,04  64,05  56,06  57,07  53
14,11,xx662901,00   0,01  59,02  54,03  68,04  66,05  55,06  58,07  56
15,11,xx662930,00   0,01  60,02  61,03  70,04  68,05  58,06  57,07  56
16,11,xx662959,00   0,01  60,02  59,03  70,04  67,05  58,06  59,07  56
17,11,xx662989,00   0,01  62,02  59,03  71,04  69,05  57,06  57,07  52
18,11,xx663018,00   0,01  62,02  54,03  73,04  71,05  58,06  55,07  55
19,11,xx663047,00   0,01  62,02  57,03  74,04  72,05  59,06  59,07  54
20,11,xx663077,00   0,01  62,02  58,03  74,04  72,05  60,06  56,07  55
21,11,xx663106,00   0,01  61,02  54,03  74,04  74,05  58,06  58,07  58
22,11,xx663135,00   0,01  62,02  59,03  76,04  73,05  57,06  59,07  55
23,11,xx663165,00   0,01  62,02  57,03  76,04  74,05  55,06  58,07  58
24,11,xx663194,00   0,01  62,02  51,03  73,04  74,05  55,06  57,07  57
25,11,xx663223,00   0,01  59,02  59,03  75,04  75,05  54,06  55,07  58
26,11,xx663252,00   0,01  60,02  55,03  75,04  75,05  56,06  58,07  56
27,11,xx663282,00   0,01  62,02  56,03  76,04  76,05  55,06  59,07  56
28,11,xx663311,00   0,01  61,02  57,03  75,04  75,05  58,06  56,07  55
29,11,xx663340,00   0,01  60,02  53,03  73,04  75,05  54,06  53,07  57
30,11,xx663370,00   0,01  58,02  60,03  70,04  74,05  54,06  57,07  56
31,11,xx663399,00   0,01  58,02  57,03  68,04  67,05  54,06  57,07  55
32,11,xx663428,00   0,01  57,02  55,03  64,04  63,05  53,06  56,07  55
33,11,xx663458,00   0,01  56,02  56,03  62,04  61,05  53,06  54,07  54
34,11,xx663487,00   0,01  56,02  53,03  59,04  59,05  53,06  53,07  54
35,11,xx663516,00   0,01  57,02  56,03  55,04  59,05  54,06  54,07  53
36,11,xx663545,00   0,01  56,02  58,03  54,04  57,05  54,06  57,07  54
37,11,xx663575,00   0,01  55,02  54,03  53,04  57,05  55,06  57,07  56
38,11,xx663604,00   0,01  54,02  54,03  53,04  56,05  53,06  56,07  55
39,11,xx663633,00   0,01  55,02  53,03  54,04  56,05  55,06  55,07  53
40,11,xx663663,00   0,01  56,02  55,03  55,04  56,05  55,06  55,07  55
41,11,xx663692,00   0,01  56,02  56,03  53,04  56,05  55,06  54,07  53
42,11,xx663721,00   0,01  55,02  57,03  54,04  56,05  55,06  55,07  56
43,11,xx663750,00   0,01  54,02  56,03  56,04  56,05  54,06  56,07  56
44,11,xx663780,00   0,01  55,02  53,03  56,04  56,05  53,06  56,07  55
45,11,xx663809,00   0,01  56,02  54,03  53,04  56,05  53,06  54,07  53
46,11,xx663838,00   0,01  53,02  55,03  54,04  54,05  53,06  54,07  55
47,11,xx663868,00   0,01  56,02  56,03  55,04  55,05  54,06  54,07  55
48,11,xx663897,00   0,01  55,02  53,03  55,04  55,05  53,06  53,07  55
49,11,xx663926,00   0,01  55,02  55,03  55,04  57,05  55,06  54,07  53
50,11,xx663956,00   0,01  55,02  54,03  56,04  55,05  56,06  54,07  54
51,11,xx663985,00   0,01  55,02  54,03  56,04  55,05  54,06  54,07  56
52,11,xx664014,00   0,01  54,02  55,03  55,04  56,05  53,06  54,07  54
53,11,xx664043,00   0,01  55,02  55,03  53,04  55,05  53,06  55,07  54
54,11,xx664073,00   0,01  53,02  53,03  54,04  55,05  54,06  55,07  55
55,11,xx664102,00   0,01  53,02  55,03  55,04  57,05  55,06  55,07  52
56,11,xx664131,00   0,01  55,02  55,03  53,04  56,05  55,06  55,07  54
57,11,xx664161,00   0,01  57,02  56,03  54,04  55,05  54,06  55,07  54
58,11,xx664190,00   0,01  56,02  53,03  54,04  58,05  54,06  55,07  54
59,11,xx664219,00   0,01  56,02  59,03  55,04  57,05  55,06  53,07  55
60,11,xx664249,00   0,01  55,02  55,03  55,04  57,05  52,06  56,07  54
61,11,xx664278,00   0,01  58,02  53,03  79,04  96,05  61,06  54,07  54
62,11,xx664307,00   0,01  55,02  55,03  61,04  70,05  55,06  53,07  55
63,11,xx664336,00   0,01  54,02  56,03  54,04  58,05  53,06  53,07  56
64,11,xx664366,00   0,01  54,02  56,03  55,04  56,05  55,06  54,07  55
65,11,xx664395,00   0,01  54,02  55,03  53,04  57,05  55,06  54,07  57
66,11,xx664424,00   0,01  56,02  55,03  56,04  57,05  55,06  56,07  56
67,11,xx664454,00   0,01  55,02  52,03  54,04  58,05  56,06  54,07  54
68,11,xx664483,00   0,01  55,02  54,03  55,04  57,05  54,06  55,07  53
69,11,xx664512,00   0,01  53,02  55,03  54,04  57,05  54,06  55,07  55
70,11,xx664541,00   0,01  53,02  56,03  54,04  57,05  54,06  53,07  55
71,11,xx664571,00   0,01  55,02  56,03  54,04  59,05  54,06  53,07  56
72,11,xx664600,00   0,01  56,02  54,03  54,04  58,05  54,06  54,07  53
73,11,xx664629,00   0,01  53,02  56,03  54,04  58,05  54,06  55,07  55
