,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
76,11,xx79946,00   0,01  55,02  55,03  56,04  55,05  54,06  55,07  55
77,11,xx79975,00   0,01  53,02  54,03  55,04  55,05  54,06  55,07  54
78,11,xx80004,00   0,01  55,02  55,03  54,04  54,05  53,06  55,07  55
79,11,xx80034,00   0,01  54,02  54,03  54,04  56,05  53,06  55,07  55
80,11,xx80063,00   0,01  55,02  55,03  55,04  54,05  53,06  55,07  56
81,11,xx80092,00   0,01  54,02  56,03  55,04  55,05  56,06  54,07  55
82,11,xx80122,00   0,01  53,02  54,03  55,04  55,05  53,06  55,07  56
83,11,xx80151,00   0,01  54,02  54,03  54,04  56,05  55,06  54,07  55
84,11,xx80180,00   0,01  54,02  55,03  55,04  54,05  54,06  55,07  55
85,11,xx80209,00   0,01  54,02  55,03  55,04  55,05  56,06  54,07  54
86,11,xx80239,00   0,01  56,02  54,03  55,04  55,05  54,06  54,07  55
87,11,xx80268,00   0,01  54,02  55,03  54,04  54,05  54,06  56,07  54
88,11,xx80297,00   0,01  52,02  51,03  55,04  54,05  54,06  53,07  56
89,11,xx80327,00   0,01  54,02  55,03  54,04  54,05  57,06  55,07  55
90,11,xx80356,00   0,01  54,02  56,03  55,04  54,05  54,06  55,07  55
91,11,xx80385,00   0,01  54,02  56,03  55,04  53,05  54,06  53,07  55
92,11,xx80415,00   0,01  54,02  54,03  55,04  53,05  54,06  55,07  54
93,11,xx80444,00   0,01  52,02  54,03  55,04  56,05  55,06  55,07  53
94,11,xx80473,00   0,01  53,02  54,03  56,04  56,05  54,06  55,07  54
95,11,xx80502,00   0,01  55,02  54,03  54,04  55,05  53,06  54,07  55
96,11,xx80532,00   0,01  54,02  54,03  56,04  54,05  54,06  55,07  53
97,11,xx80561,00   0,01  54,02  54,03  56,04  55,05  62,06  53,07  54
98,11,xx80590,00   0,01  55,02  54,03  55,04  53,05  54,06  55,07  53
99,11,xx80620,00   0,01  55,02  55,03  55,04  55,05  54,06  54,07  54
100,11,xx80649,00   0,01  53,02  54,03  54,04  56,05  52,06  54,07  53
101,11,xx80678,00   0,01  54,02  54,03  54,04  56,05  53,06  55,07  56
102,11,xx80708,00   0,01  55,02  54,03  55,04  54,05  58,06  53,07  55
103,11,xx80737,00   0,01  54,02  56,03  55,04  54,05  54,06  55,07  55
104,11,xx80766,00   0,01  54,02  53,03  55,04  55,05  54,06  54,07  55
105,11,xx80795,00   0,01  54,02  54,03  55,04  55,05  55,06  55,07  53
106,11,xx80825,00   0,01  55,02  53,03  55,04  54,05  54,06  53,07  54
107,11,xx80854,00   0,01  55,02  56,03  55,04  55,05  54,06  55,07  56
108,11,xx80883,00   0,01  55,02  55,03  55,04  55,05  54,06  56,07  55
109,11,xx80913,00   0,01  54,02  52,03  56,04  54,05  52,06  55,07  55
110,11,xx80942,00   0,01  54,02  53,03  54,04  54,05  53,06  54,07  55
111,11,xx80971,00   0,01  56,02  55,03  54,04  54,05  55,06  54,07  56
112,11,xx81000,00   0,01  55,02  55,03  54,04  56,05  53,06  54,07  54
113,11,xx81030,00   0,01  54,02  53,03  55,04  54,05  53,06  54,07  55
114,11,xx81059,00   0,01  54,02  56,03  55,04  55,05  56,06  54,07  54
115,11,xx81088,00   0,01  55,02  53,03  53,04  54,05  52,06  55,07  54
116,11,xx81118,00   0,01  55,02  54,03  55,04  54,05  54,06  54,07  55
117,11,xx81147,00   0,01  54,02  53,03  53,04  54,05  53,06  55,07  54
118,11,xx81176,00   0,01  54,02  55,03  55,04  55,05  54,06  56,07  55
119,11,xx81206,00   0,01  55,02  55,03  54,04  53,05  54,06  53,07  53
120,11,xx81235,00   0,01  54,02  55,03  54,04  54,05  53,06  55,07  54
121,11,xx81264,00   0,01  52,02  53,03  54,04  55,05  54,06  54,07  53
122,11,xx81293,00   0,01  54,02  54,03  56,04  53,05  53,06  54,07  55
123,11,xx81323,00   0,01  55,02  55,03  56,04  55,05  53,06  55,07  55
124,11,xx81352,00   0,01  54,02  55,03  54,04  55,05  55,06  54,07  54
125,11,xx81381,00   0,01  54,02  54,03  54,04  54,05  53,06  54,07  55
126,11,xx81411,00   0,01  54,02  53,03  56,04  55,05  53,06  54,07  54
127,11,xx81440,00   0,01  54,02  54,03  56,04  55,05  53,06  55,07  55
128,11,xx81469,00   0,01  55,02  54,03  54,04  54,05  53,06  53,07  54
129,11,xx81499,00   0,01  54,02  56,03  55,04  54,05  53,06  56,07  56
130,11,xx81528,00   0,01  55,02  54,03  54,04  55,05  53,06  54,07  55
131,11,xx81557,00   0,01  53,02  54,03  53,04  55,05  54,06  55,07  55
132,11,xx81586,00   0,01  54,02  54,03  55,04  54,05  54,06  53,07  54
133,11,xx81616,00   0,01  54,02  54,03  54,04  54,05  54,06  55,07  56
134,11,xx81645,00   0,01  54,02  56,03  53,04  54,05  54,06  55,07  55
135,0,xx81674,00   0,01  55,02  55,03  54,04  54,05  56,06  54,07  53
136,11,xx81704,00   0,01  54,02  56,03  54,04  55,05  54,06  55,07  55
137,11,xx81733,00   0,01  54,02  56,03  54,04  54,05  55,06  55,07  54
138,11,xx81762,00   0,01  55,02  54,03  54,04  57,05  53,06  54,07  56
139,11,xx81791,00   0,01  54,02  54,03  55,04  55,05  54,06  55,07  53
140,11,xx81821,00   0,01  56,02  54,03  54,04  54,05  53,06  54,07  56
141,11,xx81850,00   0,01  54,02  55,03  54,04  54,05  54,06  54,07  54
142,11,xx81879,00   0,01  54,02  55,03  55,04  55,05  53,06  55,07  53
143,11,xx81909,00   0,01  54,02  53,03  56,04  55,05  55,06  55,07  54
144,11,xx81938,00   0,01  54,02  56,03  56,04  54,05  55,06  54,07  54
145,11,xx81967,00   0,01  54,02  54,03  53,04  54,05  55,06  56,07  55
146,11,xx81997,00   0,01  55,02  54,03  54,04  55,05  54,06  54,07  54
147,11,xx82026,00   0,01  54,02  55,03  54,04  53,05  54,06  54,07  53
148,11,xx82055,00   0,01  56,02  55,03  54,04  54,05  53,06  55,07  54
149,11,xx82084,00   0,01  55,02  55,03  55,04  55,05  55,06  57,07  54
150,11,xx82114,00   0,01  55,02  54,03  56,04  56,05  52,06  54,07  54
151,11,xx82143,00   0,01  55,02  55,03  55,04  55,05  53,06  54,07  55
152,11,xx82172,00   0,01  55,02  53,03  55,04  56,05  53,06  55,07  56
153,11,xx82202,00   0,01  53,02  55,03  53,04  56,05  54,06  55,07  55
154,11,xx82231,00   0,01  55,02  55,03  55,04  53,05  54,06  56,07  55
155,11,xx82260,00   0,01  53,02  55,03  55,04  55,05  54,06  55,07  53
156,11,xx82290,00   0,01  56,02  53,03  54,04  54,05  54,06  55,07  55
157,11,xx82319,00   0,01  55,02  53,03  54,04  55,05  55,06  54,07  55
158,11,xx82348,00   0,01  56,02  55,03  53,04  54,05  54,06  56,07  57
159,11,xx82377,00   0,01  55,02  56,03  55,04  55,05  54,06  56,07  54
160,11,xx82407,00   0,01  53,02  54,03  54,04  55,05  55,06  54,07  53
161,11,xx82436,00   0,01  53,02  54,03  54,04  53,05  52,06  54,07  53
162,11,xx82465,00   0,01  55,02  56,03  55,04  55,05  56,06  55,07  55
163,11,xx82495,00   0,01  54,02  54,03  56,04  56,05  55,06  54,07  55
164,11,xx82524,00   0,01  53,02  54,03  56,04  55,05  54,06  54,07  56
165,11,xx82553,00   0,01  54,02  55,03  54,04  55,05  54,06  55,07  56
166,11,xx82583,00   0,01  54,02  54,03  54,04  56,05  54,06  55,07  53
167,11,xx82612,00   0,01  55,02  54,03  56,04  54,05  54,06  55,07  56
168,11,xx82641,00   0,01  53,02  55,03  55,04  55,05  54,06  54,07  55
169,11,xx82670,00   0,01  54,02  56,03  54,04  54,05  54,06  54,07  55
170,11,xx82700,00   0,01  53,02  55,03  56,04  55,05  53,06  54,07  55
171,11,xx82729,00   0,01  56,02  55,03  55,04  54,05  54,06  55,07  56
172,11,xx82758,00   0,01  53,02  54,03  57,04  54,05  54,06  54,07  54
173,11,xx82788,00   0,01  54,02  55,03  53,04  55,05  53,06  55,07  55
174,11,xx82817,00   0,01  54,02  53,03  56,04  54,05  54,06  55,07  54
175,11,xx82846,00   0,01  54,02  55,03  57,04  55,05  53,06  55,07  56
