,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
76,11,xx114627,00   0,01  56,02  56,03  56,04  56,05  53,06  57,07  53
77,11,xx114657,00   0,01  54,02  56,03  56,04  55,05  53,06  57,07  55
78,11,xx114686,00   0,01  55,02  54,03  54,04  56,05  52,06  53,07  55
79,11,xx114715,00   0,01  54,02  55,03  56,04  56,05  56,06  56,07  54
80,11,xx114745,00   0,01  55,02  57,03  56,04  57,05  54,06  56,07  54
81,11,xx114774,00   0,01  56,02  56,03  54,04  55,05  53,06  54,07  55
82,11,xx114803,00   0,01  54,02  53,03  55,04  55,05  53,06  54,07  54
83,11,xx114833,00   0,01  55,02  54,03  56,04  55,05  55,06  55,07  54
84,11,xx114862,00   0,01  55,02  56,03  56,04  55,05  53,06  57,07  56
85,11,xx114891,00   0,01  56,02  56,03  55,04  54,05  54,06  52,07  57
86,11,xx114920,00   0,01  55,02  54,03  56,04  55,05  55,06  54,07  55
87,11,xx114950,00   0,01  55,02  53,03  55,04  54,05  55,06  55,07  54
88,11,xx114979,00   0,01  55,02  55,03  55,04  55,05  55,06  55,07  55
89,11,xx115008,00   0,01  54,02  55,03  55,04  58,05  55,06  57,07  53
90,11,xx115038,00   0,01  55,02  54,03  59,04  68,05  54,06  54,07  57
91,11,xx115067,00   0,01  56,02  54,03  63,04  79,05  55,06  54,07  55
92,11,xx115096,00   0,01  57,02  54,03  68,04  80,05  55,06  55,07  56
93,11,xx115125,00   0,01  57,02  54,03  69,04  78,05  57,06  57,07  55
94,11,xx115155,00   0,01  59,02  58,03  70,04  74,05  58,06  58,07  56
95,11,xx115184,00   0,01  59,02  59,03  69,04  73,05  59,06  60,07  56
96,11,xx115213,00   0,01  61,02  61,03  68,04  67,05  59,06  66,07  55
97,11,xx115243,00   0,01  61,02  62,03  67,04  63,05  60,06  66,07  55
98,11,xx115272,00   0,01  63,02  63,03  62,04  62,05  57,06  70,07  56
99,11,xx115301,00   0,01  62,02  62,03  60,04  60,05  56,06  70,07  55
100,11,xx115331,00   0,01  64,02  64,03  59,04  59,05  55,06  72,07  56
101,11,xx115360,00   0,01  61,02  65,03  58,04  57,05  55,06  73,07  55
102,11,xx115389,00   0,01  61,02  68,03  56,04  57,05  54,06  74,07  56
103,11,xx115418,00   0,01  59,02  68,03  59,04  57,05  54,06  75,07  54
104,11,xx115448,00   0,01  61,02  71,03  56,04  56,05  55,06  78,07  54
105,11,xx115477,00   0,01  62,02  72,03  57,04  55,05  53,06  79,07  54
106,11,xx115506,00   0,01  61,02  74,03  56,04  56,05  54,06  82,07  54
107,11,xx115536,00   0,01  59,02  79,03  55,04  57,05  55,06  87,07  55
108,11,xx115565,00   0,01  59,02  78,03  56,04  55,05  54,06  87,07  54
109,11,xx115594,00   0,01  57,02  82,03  55,04  57,05  54,06  89,07  54
110,11,xx115624,00   0,01  57,02  82,03  56,04  55,05  53,06  87,07  54
111,11,xx115653,00   0,01  55,02  78,03  56,04  56,05  53,06  79,07  54
112,11,xx115682,00   0,01  56,02  70,03  55,04  56,05  54,06  70,07  54
113,11,xx115711,00   0,01  55,02  62,03  56,04  55,05  54,06  62,07  56
114,11,xx115741,00   0,01  55,02  57,03  55,04  56,05  53,06  58,07  55
115,11,xx115770,00   0,01  56,02  57,03  57,04  57,05  53,06  56,07  55
116,11,xx115799,00   0,01  54,02  56,03  55,04  55,05  54,06  56,07  53
117,11,xx115829,00   0,01  54,02  56,03  55,04  55,05  54,06  55,07  54
118,11,xx115858,00   0,01  54,02  56,03  56,04  56,05  54,06  56,07  55
119,11,xx115887,00   0,01  55,02  55,03  54,04  56,05  55,06  57,07  55
120,11,xx115916,00   0,01  54,02  55,03  54,04  56,05  53,06  55,07  54
121,11,xx115946,00   0,01  54,02  54,03  56,04  56,05  54,06  56,07  54
122,11,xx115975,00   0,01  53,02  54,03  55,04  55,05  53,06  55,07  53
123,11,xx116004,00   0,01  54,02  55,03  55,04  55,05  54,06  56,07  54
124,11,xx116034,00   0,01  54,02  56,03  54,04  56,05  54,06  56,07  55
125,11,xx116063,00   0,01  54,02  56,03  56,04  56,05  55,06  55,07  55
126,11,xx116092,00   0,01  54,02  55,03  56,04  56,05  53,06  55,07  56
127,11,xx116122,00   0,01  55,02  55,03  56,04  56,05  55,06  54,07  56
128,11,xx116151,00   0,01  53,02  56,03  54,04  56,05  54,06  55,07  54
129,11,xx116180,00   0,01  54,02  53,03  54,04  57,05  55,06  56,07  54
130,11,xx116209,00   0,01  54,02  54,03  57,04  57,05  54,06  56,07  54
131,11,xx116239,00   0,01  58,02  54,03  60,04  61,05  53,06  55,07  55
132,11,xx116268,00   0,01  58,02  57,03  60,04  61,05  55,06  58,07  53
133,11,xx116297,00   0,01  61,02  63,03  61,04  61,05  56,06  64,07  58
134,11,xx116327,00   0,01  63,02  66,03  61,04  60,05  57,06  70,07  58
135,11,xx116356,00   0,01  66,02  69,03  60,04  61,05  57,06  74,07  55
136,11,xx116385,00   0,01  65,02  72,03  60,04  58,05  58,06  78,07  56
137,11,xx116415,00   0,01  64,02  71,03  59,04  55,05  55,06  80,07  55
138,11,xx116444,00   0,01  64,02  71,03  59,04  56,05  55,06  78,07  55
139,11,xx116473,00   0,01  61,02  72,03  59,04  57,05  54,06  79,07  56
140,11,xx116502,00   0,01  60,02  69,03  58,04  56,05  54,06  79,07  55
141,11,xx116532,00   0,01  59,02  67,03  58,04  56,05  56,06  80,07  56
142,11,xx116561,00   0,01  58,02  66,03  58,04  56,05  54,06  78,07  54
143,11,xx116590,00   0,01  59,02  68,03  60,04  58,05  57,06  80,07  55
144,11,xx116620,00   0,01  60,02  65,03  60,04  58,05  58,06  80,07  56
145,11,xx116649,00   0,01  61,02  69,03  59,04  60,05  58,06  81,07  57
146,11,xx116678,00   0,01  59,02  65,03  61,04  59,05  60,06  82,07  56
147,11,xx116708,00   0,01  60,02  63,03  62,04  61,05  57,06  82,07  56
148,11,xx116737,00   0,01  60,02  63,03  65,04  60,05  58,06  79,07  56
149,11,xx116766,00   0,01  59,02  62,03  64,04  59,05  59,06  78,07  57
150,11,xx116795,00   0,01  57,02  60,03  63,04  61,05  59,06  77,07  56
151,11,xx116825,00   0,01  59,02  63,03  64,04  62,05  58,06  76,07  55
152,11,xx116854,00   0,01  59,02  62,03  65,04  62,05  59,06  75,07  55
153,11,xx116883,00   0,01  59,02  60,03  67,04  62,05  61,06  73,07  55
154,11,xx116913,00   0,01  58,02  61,03  71,04  67,05  59,06  68,07  55
155,11,xx116942,00   0,01  59,02  59,03  72,04  71,05  61,06  67,07  57
156,11,xx116971,00   0,01  58,02  57,03  74,04  75,05  58,06  63,07  56
157,11,xx117000,00   0,01  57,02  56,03  70,04  73,05  58,06  61,07  55
158,11,xx117030,00   0,01  55,02  56,03  66,04  69,05  56,06  56,07  55
159,11,xx117059,00   0,01  55,02  54,03  59,04  66,05  54,06  57,07  54
160,11,xx117088,00   0,01  55,02  53,03  58,04  61,05  55,06  56,07  54
161,11,xx117118,00   0,01  54,02  55,03  58,04  58,05  55,06  55,07  55
162,11,xx117147,00   0,01  55,02  55,03  56,04  58,05  55,06  55,07  55
163,11,xx117176,00   0,01  56,02  56,03  58,04  56,05  55,06  55,07  53
164,11,xx117206,00   0,01  55,02  54,03  58,04  58,05  54,06  53,07  55
165,11,xx117235,00   0,01  55,02  56,03  58,04  58,05  55,06  55,07  54
166,11,xx117264,00   0,01  54,02  55,03  57,04  56,05  56,06  56,07  56
167,11,xx117293,00   0,01  54,02  53,03  58,04  57,05  56,06  55,07  55
168,11,xx117323,00   0,01  55,02  55,03  57,04  56,05  56,06  55,07  54
169,11,xx117352,00   0,01  56,02  58,03  57,04  58,05  55,06  53,07  55
170,11,xx117381,00   0,01  55,02  53,03  55,04  56,05  53,06  54,07  55
171,11,xx117411,00   0,01  55,02  56,03  57,04  58,05  55,06  56,07  53
172,11,xx117440,00   0,01  56,02  54,03  56,04  56,05  54,06  55,07  53
173,11,xx117469,00   0,01  54,02  53,03  55,04  56,05  54,06  53,07  54
174,11,xx117499,00   0,01  54,02  58,03  55,04  56,05  53,06  54,07  53
175,11,xx117528,00   0,01  55,02  55,03  57,04  57,05  55,06  55,07  56
176,11,xx117557,00   0,01  54,02  55,03  56,04  57,05  54,06  53,07  54
177,11,xx117586,00   0,01  56,02  56,03  58,04  64,05  55,06  55,07  53
178,11,xx117616,00   0,01  54,02  56,03  61,04  69,05  54,06  56,07  56
179,11,xx117645,00   0,01  54,02  54,03  62,04  72,05  54,06  56,07  54
180,11,xx117674,00   0,01  56,02  54,03  63,04  68,05  55,06  57,07  56
181,11,xx117704,00   0,01  56,02  58,03  66,04  70,05  59,06  60,07  55
182,11,xx117733,00   0,01  58,02  56,03  70,04  71,05  59,06  65,07  56
183,11,xx117762,00   0,01  59,02  60,03  68,04  67,05  61,06  71,07  58
184,11,xx117791,00   0,01  60,02  61,03  67,04  63,05  62,06  77,07  56
185,11,xx117821,00   0,01  61,02  62,03  64,04  61,05  59,06  84,07  56
186,11,xx117850,00   0,01  60,02  63,03  60,04  59,05  59,06  84,07  53
187,11,xx117879,00   0,01  60,02  65,03  60,04  58,05  56,06  86,07  55
188,11,xx117909,00   0,01  60,02  66,03  58,04  58,05  56,06  85,07  54
189,11,xx117938,00   0,01  58,02  63,03  57,04  58,05  53,06  85,07  53
190,11,xx117967,00   0,01  58,02  67,03  55,04  58,05  55,06  86,07  54
191,11,xx117997,00   0,01  57,02  71,03  57,04  57,05  56,06  87,07  55
