,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx2845902,00   0,01  58,02  55,03  87,04 100,05  66,06  62,07  56
1,11,xx2845931,00   0,01  55,02  57,03  85,04 103,05  67,06  63,07  53
2,11,xx2845960,00   0,01  56,02  58,03  85,04 104,05  64,06  59,07  55
3,11,xx2845990,00   0,01  59,02  55,03  86,04 103,05  65,06  60,07  58
4,11,xx2846019,00   0,01  57,02  55,03  87,04 103,05  66,06  66,07  54
5,11,xx2846048,00   0,01  56,02  56,03  86,04 105,05  64,06  59,07  53
6,11,xx2846078,00   0,01  54,02  58,03  86,04 104,05  66,06  62,07  55
7,11,xx2846107,00   0,01  57,02  56,03  89,04 105,05  67,06  64,07  55
8,11,xx2846136,00   0,01  54,02  56,03  89,04 103,05  66,06  62,07  54
9,11,xx2846166,00   0,01  56,02  55,03  89,04 103,05  65,06  63,07  54
10,11,xx2846195,00   0,01  56,02  56,03  91,04 100,05  67,06  62,07  55
11,11,xx2846224,00   0,01  57,02  55,03  91,04  97,05  68,06  64,07  53
12,11,xx2846253,00   0,01  57,02  55,03  90,04  92,05  69,06  65,07  55
13,11,xx2846283,00   0,01  58,02  55,03  91,04  87,05  69,06  65,07  57
14,11,xx2846312,00   0,01  57,02  54,03  90,04  84,05  70,06  65,07  55
15,11,xx2846341,00   0,01  57,02  55,03  87,04  76,05  69,06  65,07  54
16,11,xx2846371,00   0,01  58,02  56,03  86,04  73,05  70,06  67,07  55
17,11,xx2846400,00   0,01  57,02  55,03  83,04  72,05  71,06  66,07  54
18,11,xx2846429,00   0,01  59,02  56,03  81,04  68,05  71,06  68,07  55
19,11,xx2846458,00   0,01  57,02  57,03  82,04  69,05  70,06  70,07  54
20,11,xx2846488,00   0,01  59,02  56,03  81,04  69,05  70,06  66,07  54
21,11,xx2846517,00   0,01  58,02  55,03  83,04  70,05  71,06  67,07  56
22,11,xx2846546,00   0,01  59,02  55,03  86,04  72,05  71,06  67,07  55
23,11,xx2846576,00   0,01  57,02  57,03  87,04  76,05  70,06  69,07  55
24,11,xx2846605,00   0,01  58,02  57,03  91,04  80,05  69,06  68,07  53
25,11,xx2846634,00   0,01  58,02  55,03  90,04  84,05  69,06  62,07  55
26,11,xx2846664,00   0,01  60,02  57,03  92,04  83,05  68,06  63,07  53
