,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx428922,00   0,01  55,02  56,03  62,04  64,05  54,06  60,07  55
1,11,xx428952,00   0,01  58,02  53,03  61,04  63,05  55,06  57,07  53
2,11,xx428981,00   0,01  56,02  58,03  60,04  63,05  56,06  57,07  55
3,11,xx429010,00   0,01  56,02  56,03  60,04  64,05  55,06  58,07  55
4,11,xx429040,00   0,01  55,02  53,03  62,04  64,05  56,06  58,07  57
5,11,xx429069,00   0,01  56,02  56,03  62,04  64,05  56,06  57,07  54
6,11,xx429098,00   0,01  57,02  56,03  60,04  65,05  55,06  58,07  56
7,11,xx429127,00   0,01  58,02  57,03  61,04  65,05  55,06  59,07  53
8,11,xx429157,00   0,01  56,02  55,03  62,04  64,05  56,06  57,07  54
9,11,xx429186,00   0,01  56,02  51,03  62,04  63,05  54,06  55,07  55
10,11,xx429215,00   0,01  56,02  54,03  59,04  64,05  56,06  55,07  55
11,11,xx429245,00   0,01  58,02  53,03  61,04  64,05  53,06  55,07  55
12,11,xx429274,00   0,01  56,02  53,03  61,04  64,05  55,06  57,07  55
13,11,xx429303,00   0,01  55,02  56,03  62,04  62,05  55,06  56,07  57
14,11,xx429333,00   0,01  54,02  54,03  60,04  65,05  55,06  58,07  54
15,11,xx429362,00   0,01  57,02  54,03  59,04  62,05  56,06  55,07  54
16,11,xx429391,00   0,01  56,02  57,03  60,04  62,05  55,06  56,07  56
17,11,xx429420,00   0,01  55,02  54,03  61,04  61,05  55,06  54,07  55
18,11,xx429450,00   0,01  58,02  59,03  61,04  63,05  53,06  60,07  52
19,11,xx429479,00   0,01  57,02  58,03  61,04  65,05  54,06  58,07  55
20,11,xx429508,00   0,01  57,02  58,03  59,04  64,05  54,06  54,07  53
21,11,xx429538,00   0,01  56,02  56,03  61,04  62,05  53,06  59,07  55
22,11,xx429567,00   0,01  56,02  55,03  62,04  63,05  54,06  58,07  53
23,11,xx429596,00   0,01  58,02  55,03  61,04  62,05  55,06  55,07  55
24,11,xx429625,00   0,01  57,02  54,03  60,04  64,05  55,06  55,07  56
25,11,xx429655,00   0,01  56,02  58,03  60,04  63,05  55,06  58,07  55
26,11,xx429684,00   0,01  56,02  55,03  61,04  64,05  56,06  55,07  56
27,11,xx429713,00   0,01  56,02  57,03  61,04  62,05  54,06  61,07  55
28,11,xx429743,00   0,01  57,02  56,03  60,04  64,05  56,06  59,07  54
29,11,xx429772,00   0,01  57,02  56,03  62,04  64,05  55,06  56,07  54
30,11,xx429801,00   0,01  56,02  56,03  61,04  64,05  56,06  55,07  55
31,11,xx429831,00   0,01  57,02  54,03  61,04  64,05  56,06  53,07  55
32,11,xx429860,00   0,01  56,02  57,03  62,04  65,05  56,06  60,07  54
33,11,xx429889,00   0,01  56,02  56,03  62,04  62,05  54,06  60,07  55
34,11,xx429918,00   0,01  56,02  58,03  61,04  63,05  56,06  57,07  56
35,11,xx429948,00   0,01  56,02  55,03  61,04  63,05  54,06  58,07  55
36,11,xx429977,00   0,01  54,02  60,03  61,04  63,05  54,06  54,07  54
37,11,xx430006,00   0,01  56,02  57,03  61,04  63,05  55,06  55,07  56
38,11,xx430036,00   0,01  57,02  55,03  61,04  63,05  55,06  57,07  55
39,11,xx430065,00   0,01  58,02  54,03  59,04  64,05  55,06  59,07  57
40,11,xx430094,00   0,01  54,02  62,03  61,04  63,05  54,06  58,07  54
41,11,xx430124,00   0,01  58,02  55,03  60,04  62,05  54,06  56,07  55
42,11,xx430153,00   0,01  56,02  54,03  60,04  61,05  55,06  60,07  54
43,11,xx430182,00   0,01  57,02  56,03  60,04  59,05  55,06  56,07  54
44,11,xx430211,00   0,01  55,02  55,03  57,04  58,05  54,06  57,07  55
45,11,xx430241,00   0,01  54,02  54,03  57,04  58,05  55,06  53,07  55
46,11,xx430270,00   0,01  56,02  56,03  58,04  59,05  56,06  56,07  55
47,11,xx430299,00   0,01  55,02  60,03  57,04  58,05  54,06  54,07  55
48,11,xx430329,00   0,01  56,02  57,03  58,04  58,05  54,06  56,07  55
49,11,xx430358,00   0,01  56,02  58,03  58,04  57,05  55,06  53,07  55
50,11,xx430387,00   0,01  56,02  53,03  58,04  57,05  55,06  55,07  54
51,11,xx430416,00   0,01  55,02  54,03  57,04  58,05  56,06  56,07  55
52,11,xx430446,00   0,01  55,02  55,03  57,04  56,05  54,06  57,07  56
53,11,xx430475,00   0,01  55,02  58,03  56,04  57,05  54,06  56,07  54
54,11,xx430504,00   0,01  56,02  56,03  56,04  58,05  55,06  54,07  55
55,11,xx430534,00   0,01  56,02  54,03  57,04  56,05  54,06  57,07  53
56,11,xx430563,00   0,01  55,02  56,03  57,04  57,05  55,06  55,07  54
57,11,xx430592,00   0,01  55,02  54,03  56,04  58,05  54,06  56,07  57
58,11,xx430622,00   0,01  57,02  57,03  56,04  58,05  56,06  58,07  55
59,11,xx430651,00   0,01  54,02  57,03  58,04  55,05  54,06  55,07  55
60,11,xx430680,00   0,01  55,02  55,03  56,04  58,05  55,06  57,07  55
61,11,xx430709,00   0,01  53,02  56,03  57,04  58,05  56,06  54,07  54
62,11,xx430739,00   0,01  53,02  54,03  56,04  57,05  54,06  54,07  55
63,11,xx430768,00   0,01  55,02  58,03  57,04  60,05  54,06  55,07  55
64,11,xx430797,00   0,01  55,02  56,03  58,04  62,05  54,06  58,07  54
65,11,xx430827,00   0,01  55,02  56,03  62,04  62,05  54,06  57,07  55
66,11,xx430856,00   0,01  56,02  54,03  61,04  64,05  55,06  56,07  54
67,11,xx430885,00   0,01  57,02  57,03  61,04  70,05  55,06  57,07  54
68,11,xx430915,00   0,01  57,02  57,03  66,04  79,05  58,06  58,07  54
69,11,xx430944,00   0,01  57,02  59,03  70,04  87,05  56,06  57,07  56
70,11,xx430973,00   0,01  57,02  55,03  75,04  91,05  58,06  58,07  55
71,11,xx431002,00   0,01  57,02  56,03  79,04  97,05  57,06  58,07  55
72,11,xx431032,00   0,01  59,02  55,03  77,04  98,05  57,06  56,07  57
73,11,xx431061,00   0,01  58,02  56,03  80,04  94,05  57,06  57,07  55
74,11,xx431090,00   0,01  58,02  56,03  77,04  91,05  59,06  57,07  55
75,11,xx431120,00   0,01  57,02  56,03  77,04  92,05  59,06  60,07  54
76,11,xx431149,00   0,01  57,02  56,03  76,04  88,05  60,06  60,07  55
77,11,xx431178,00   0,01  56,02  58,03  74,04  86,05  58,06  60,07  54
78,11,xx431208,00   0,01  56,02  56,03  75,04  85,05  59,06  60,07  54
79,11,xx431237,00   0,01  59,02  56,03  73,04  83,05  58,06  60,07  54
80,11,xx431266,00   0,01  58,02  58,03  73,04  81,05  59,06  60,07  54
81,11,xx431295,00   0,01  59,02  59,03  71,04  75,05  60,06  62,07  55
82,11,xx431325,00   0,01  62,02  61,03  71,04  71,05  59,06  63,07  55
83,11,xx431354,00   0,01  61,02  62,03  68,04  68,05  59,06  67,07  55
84,11,xx431383,00   0,01  65,02  65,03  66,04  64,05  57,06  69,07  55
85,11,xx431413,00   0,01  67,02  67,03  63,04  63,05  58,06  74,07  54
86,11,xx431442,00   0,01  68,02  69,03  62,04  57,05  56,06  78,07  54
87,11,xx431471,00   0,01  70,02  73,03  61,04  58,05  55,06  84,07  54
88,11,xx431500,00   0,01  68,02  81,03  58,04  57,05  56,06  86,07  54
89,11,xx431530,00   0,01  64,02  84,03  57,04  57,05  54,06  83,07  55
90,11,xx431559,00   0,01  60,02  91,03  58,04  57,05  54,06  81,07  54
91,11,xx431588,00   0,01  57,02  88,03  58,04  56,05  55,06  72,07  55
92,11,xx431618,00   0,01  60,02  76,03  56,04  54,05  53,06  66,07  54
93,11,xx431647,00   0,01  58,02  62,03  58,04  56,05  53,06  61,07  75
94,11,xx431676,00   0,01  56,02  59,03  59,04  56,05  55,06  57,07  56
95,11,xx431706,00   0,01  56,02  56,03  56,04  56,05  54,06  57,07  53
96,11,xx431735,00   0,01  56,02  55,03  57,04  55,05  54,06  57,07  54
97,11,xx431764,00   0,01  53,02  55,03  56,04  55,05  52,06  55,07  54
98,11,xx431793,00   0,01  54,02  55,03  57,04  56,05  54,06  58,07  55
99,11,xx431823,00   0,0,02  53,03  57,04  56,05  54,06  55,07  53
100,11,xx431852,00   0,01  55,02  55,03  56,04  56,05  53,06  58,07  54
101,11,xx431881,00   0,01  54,02  56,03  56,04  56,05  53,06  57,07  54
102,11,xx431911,00   0,01  55,02  55,03  58,04  55,05  54,06  56,07  56
103,11,xx431940,00   0,01  55,02  57,03  57,04  56,05  54,06  56,07  54
104,11,xx431969,00   0,01  55,02  56,03  56,04  57,05  55,06  58,07  55
105,11,xx431999,00   0,01  55,02  54,03  56,04  57,05  53,06  55,07  55
106,11,xx432028,00   0,01  55,02  55,03  56,04  55,05  55,06  53,07  56
107,11,xx432057,00   0,01  54,02  58,03  57,04  56,05  56,06  54,07  53
108,11,xx432086,00   0,01  55,02  53,03  56,04  56,05  55,06  54,07  54
109,11,xx432116,00   0,01  55,02  56,03  56,04  55,05  55,06  55,07  55
110,11,xx432145,00   0,01  53,02  56,03  58,04  62,05  54,06  54,07  56
111,11,xx432174,00   0,01  55,02  57,03  59,04  77,05  55,06  56,07  54
112,11,xx432204,00   0,01  55,02  53,03  65,04  85,05  54,06  56,07  54
113,11,xx432233,00   0,01  55,02  56,03  68,04  87,05  55,06  56,07  54
