,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx3334326,00   0,01  58,02  58,03  63,04  92,05  59,06  53,07  55
1,11,xx3334355,00   0,01  57,02  57,03  63,04  92,05  59,06  57,07  53
2,11,xx3334384,00   0,01  57,02  59,03  64,04  91,05  59,06  56,07  55
3,11,xx3334414,00   0,01  58,02  55,03  63,04  93,05  57,06  56,07  53
4,11,xx3334443,00   0,01  54,02  56,03  62,04  91,05  59,06  55,07  55
5,11,xx3334472,00   0,01  55,02  57,03  64,04  92,05  58,06  55,07  54
6,11,xx3334501,00   0,01  56,02  56,03  64,04  94,05  60,06  57,07  55
7,11,xx3334531,00   0,01  58,02  56,03  64,04  94,05  60,06  56,07  56
8,11,xx3334560,00   0,01  57,02  57,03  64,04  94,05  58,06  54,07  54
9,11,xx3334589,00   0,01  56,02  57,03  65,04  97,05  59,06  55,07  54
10,11,xx3334619,00   0,01  55,02  57,03  65,04  98,05  58,06  58,07  54
11,11,xx3334648,00   0,01  56,02  57,03  64,04  98,05  59,06  54,07  55
12,11,xx3334677,00   0,01  57,02  56,03  65,04  97,05  58,06  55,07  55
13,11,xx3334707,00   0,01  57,02  57,03  65,04 100,05  60,06  55,07  54
14,11,xx3334736,00   0,01  58,02  58,03  66,04  96,05  58,06  56,07  55
15,11,xx3334765,00   0,01  58,02  57,03  65,04  97,05  57,06  55,07  55
16,11,xx3334794,00   0,01  57,02  57,03  66,04  96,05  58,06  56,07  55
17,11,xx3334824,00   0,01  57,02  55,03  64,04  92,05  57,06  54,07  54
18,11,xx3334853,00   0,01  56,02  56,03  64,04  84,05  59,06  57,07  55
19,11,xx3334882,00   0,01  56,02  58,03  64,04  79,05  57,06  53,07  56
20,11,xx3334912,00   0,01  57,02  57,03  63,04  70,05  59,06  56,07  54
21,11,xx3334941,00   0,01  58,02  56,03  59,04  66,05  58,06  54,07  54
22,11,xx3334970,00   0,01  58,02  57,03  59,04  61,05  59,06  54,07  55
23,11,xx3335000,00   0,01  57,02  55,03  58,04  57,05  60,06  54,07  55
24,11,xx3335029,00   0,01  55,02  54,03  55,04  56,05  59,06  55,07  56
25,11,xx3335058,00   0,01  57,02  55,03  54,04  57,05  58,06  54,07  56
26,11,xx3335087,00   0,01  55,02  55,03  54,04  55,05  55,06  55,07  55
27,11,xx3335117,00   0,01  53,02  55,03  55,04  54,05  55,06  54,07  56
28,11,xx3335146,00   0,01  56,02  54,03  54,04  57,05  56,06  54,07  55
29,11,xx3335175,00   0,01  56,02  56,03  55,04  57,05  55,06  54,07  55
30,11,xx3335205,00   0,01  57,02  55,03  55,04  56,05  56,06  55,07  55
31,11,xx3335234,00   0,01  57,02  55,03  56,04  55,05  55,06  55,07  56
32,11,xx3335263,00   0,01  54,02  55,03  54,04  56,05  54,06  54,07  53
33,11,xx3335292,00   0,01  54,02  55,03  54,04  57,05  54,06  54,07  55
34,11,xx3335322,00   0,01  53,02  55,03  55,04  55,05  55,06  55,07  55
35,11,xx3335351,00   0,01  56,02  55,03  54,04  56,05  56,06  56,07  55
36,11,xx3335380,00   0,01  54,02  54,03  54,04  58,05  55,06  53,07  55
37,11,xx3335410,00   0,01  55,02  56,03  55,04  68,05  56,06  57,07  55
38,11,xx3335439,00   0,01  56,02  54,03  57,04  79,05  55,06  54,07  55
39,11,xx3335468,00   0,01  56,02  56,03  58,04  87,05  54,06  57,07  56
40,11,xx3335498,00   0,01  57,02  56,03  62,04  98,05  55,06  54,07  55
41,11,xx3335527,00   0,01  56,02  56,03  66,04  99,05  57,06  55,07  55
42,11,xx3335556,00   0,01  56,02  56,03  70,04 101,05  58,06  55,07  56
