,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
77,11,xx820282,00   0,01  55,02  53,03  54,04  57,05  55,06  57,07  55
78,11,xx820311,00   0,01  54,02  55,03  55,04  56,05  53,06  57,07  55
79,11,xx820340,00   0,01  55,02  56,03  55,04  54,05  54,06  57,07  54
80,11,xx820370,00   0,01  56,02  55,03  55,04  54,05  54,06  55,07  55
81,11,xx820399,00   0,01  55,02  56,03  54,04  54,05  53,06  56,07  55
82,11,xx820428,00   0,01  55,02  56,03  55,04  57,05  55,06  56,07  54
83,11,xx820458,00   0,01  55,02  54,03  53,04  56,05  56,06  55,07  54
84,11,xx820487,00   0,01  54,02  55,03  55,04  55,05  55,06  55,07  56
85,11,xx820516,00   0,01  55,02  55,03  54,04  56,05  54,06  56,07  55
86,11,xx820545,00   0,01  55,02  56,03  55,04  88,05  56,06  56,07  55
87,11,xx820575,00   0,01  55,02  55,03  56,04 112,05  53,06  57,07  53
88,11,xx820604,00   0,01  54,02  56,03  60,04 113,05  57,06  58,07  56
89,11,xx820633,00   0,01  54,02  56,03  66,04 120,05  57,06  56,07  55
90,11,xx820663,00   0,01  56,02  56,03  66,04 128,05  58,06  58,07  54
91,11,xx820692,00   0,01  56,02  59,03  67,04 126,05  55,06  58,07  55
92,11,xx820721,00   0,01  58,02  60,03  65,04 120,05  58,06  58,07  54
93,11,xx820750,00   0,01  58,02  61,03  64,04 109,05  58,06  58,07  55
94,11,xx820780,00   0,01  59,02  63,03  64,04 101,05  57,06  60,07  54
95,11,xx820809,00   0,01  58,02  63,03  64,04  93,05  56,06  57,07  57
96,11,xx820838,00   0,01  58,02  65,03  63,04  89,05  58,06  57,07  55
97,11,xx820868,00   0,01  59,02  66,03  62,04  83,05  57,06  59,07  56
98,11,xx820897,00   0,01  62,02  69,03  61,04  80,05  55,06  57,07  54
99,11,xx820926,00   0,01  61,02  73,03  61,04  73,05  58,06  59,07  55
100,11,xx820956,00   0,01  61,02  79,03  54,04  67,05  58,06  62,07  55
101,11,xx820985,00   0,01  59,02  87,03  55,04  62,05  59,06  65,07  54
102,11,xx821014,00   0,01  59,02  91,03  54,04  60,05  59,06  67,07  53
103,11,xx821043,00   0,01  56,02  96,03  54,04  60,05  57,06  69,07  53
104,11,xx821073,00   0,01  54,02 103,03  55,04  59,05  57,06  71,07  55
105,11,xx821102,00   0,01  56,02  97,03  56,04  60,05  55,06  70,07  54
106,11,xx821131,00   0,01  56,02  92,03  55,04  60,05  56,06  68,07  56
107,11,xx821161,00   0,01  55,02  86,03  54,04  60,05  54,06  66,07  54
108,11,xx821190,00   0,01  56,02  80,03  55,04  58,05  54,06  60,07  56
109,11,xx821219,00   0,01  54,02  73,03  54,04  58,05  55,06  58,07  55
110,11,xx821249,00   0,01  55,02  63,03  54,04  55,05  54,06  57,07  56
111,11,xx821278,00   0,01  56,02  56,03  56,04  54,05  55,06  57,07  56
112,11,xx821307,00   0,01  56,02  54,03  55,04  56,05  56,06  55,07  56
113,11,xx821336,00   0,01  53,02  55,03  54,04  55,05  55,06  56,07  55
114,11,xx821366,00   0,01  53,02  57,03  55,04  56,05  54,06  55,07  55
115,11,xx821395,00   0,01  56,02  54,03  55,04  55,05  54,06  55,07  56
116,11,xx821424,00   0,01  54,02  55,03  56,04  55,05  53,06  57,07  54
117,11,xx821454,00   0,01  54,02  56,03  56,04  55,05  55,06  56,07  54
118,11,xx821483,00   0,01  55,02  57,03  55,04  56,05  55,06  56,07  53
119,11,xx821512,00   0,01  54,02  56,03  56,04  57,05  55,06  55,07  57
120,11,xx821541,00   0,01  56,02  55,03  54,04  56,05  55,06  57,07  54
121,11,xx821571,00   0,01  55,02  56,03  54,04  56,05  55,06  56,07  53
122,11,xx821600,00   0,01  56,02  56,03  56,04  53,05  54,06  56,07  56
123,11,xx821629,00   0,01  56,02  55,03  54,04  56,05  56,06  54,07  56
124,11,xx821659,00   0,01  55,02  57,03  54,04  56,05  54,06  56,07  53
125,11,xx821688,00   0,01  56,02  56,03  54,04  53,05  55,06  56,07  55
126,11,xx821717,00   0,01  56,02  55,03  56,04  55,05  56,06  58,07  55
127,11,xx821747,00   0,01  55,02  57,03  55,04  57,05  54,06  57,07  56
128,11,xx821776,00   0,01  53,02  55,03  55,04 105,05  56,06  57,07  55
129,11,xx821805,00   0,01  54,02  55,03  59,04 117,05  55,06  57,07  55
130,11,xx821834,00   0,01  54,02  57,03  67,04 119,05  57,06  57,07  56
131,11,xx821864,00   0,01  57,02  57,03  70,04 132,05  58,06  59,07  55
132,11,xx821893,00   0,01  59,02  61,03  72,04 126,05  60,06  59,07  55
133,11,xx821922,00   0,01  60,02  61,03  71,04 108,05  61,06  61,07  55
134,11,xx821952,00   0,01  60,02  63,03  70,04  89,05  64,06  62,07  55
135,11,xx821981,00   0,01  61,02  64,03  66,04  74,05  65,06  62,07  55
136,11,xx822010,00   0,01  59,02  66,03  64,04  65,05  63,06  65,07  56
137,11,xx822040,00   0,01  56,02  68,03  54,04  61,05  66,06  68,07  55
138,11,xx822069,00   0,01  57,02  71,03  54,04  58,05  67,06  70,07  55
