,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx1128160,00   0,01  56,02  55,03  85,04 105,05  66,06  67,07  54
1,11,xx1128189,00   0,01  56,02  55,03  83,04 106,05  65,06  66,07  55
2,11,xx1128218,00   0,01  53,02  55,03  84,04 107,05  65,06  65,07  56
3,11,xx1128248,00   0,01  58,02  57,03  83,04 107,05  63,06  65,07  55
4,11,xx1128277,00   0,01  55,02  55,03  86,04 108,05  65,06  66,07  56
5,11,xx1128306,00   0,01  55,02  56,03  83,04 108,05  65,06  65,07  53
6,11,xx1128335,00   0,01  56,02  56,03  83,04 108,05  65,06  64,07  55
7,11,xx1128365,00 0,01  56,02  55,03  85,04 108,05  65,06  63,07  54
8,11,xx1128394,00   0,01  58,02  55,03  85,04 111,05  65,06  67,07  56
9,11,xx1128423,00   0,01  56,02  56,03  87,04 112,05  64,06  67,07  55
10,11,xx1128453,00   0,01  57,02  55,03  85,04 114,05  66,06  65,07  56
11,11,xx1128482,00   0,01  55,02  55,03  87,04 114,05  65,06  66,07  55
12,11,xx1128511,00   0,01  57,02  57,03  88,04 116,05  65,06  66,07  55
13,11,xx1128541,00   0,01  55,02  56,03  88,04 115,05  66,06  66,07  54
14,11,xx1128570,00   0,01  58,02  58,03  90,04 117,05  67,06  65,07  54
15,11,xx1128599,00   0,01  57,02  56,03  92,04 114,05  66,06  69,07  54
16,11,xx1128628,00   0,01  56,02  55,03  91,04 111,05  67,06  67,07  55
17,11,xx1128658,00   0,01  57,02  56,03  95,04 107,05  67,06  69,07  55
18,11,xx1128687,00   0,01  58,02  56,03  94,04 103,05  69,06  68,07  55
19,11,xx1128716,00   0,01  58,02  58,03  93,04  96,05  68,06  69,07  55
20,11,xx1128746,00   0,01  58,02  58,03  94,04  90,05  70,06  70,07  54
21,11,xx1128775,00   0,01  59,02  57,03  90,04  83,05  70,06  69,07  55
22,11,xx1128804,00   0,01  59,02  56,03  85,04  73,05  69,06  70,07  55
23,11,xx1128833,00   0,01  61,02  56,03  78,04  65,05  67,06  70,07  54
24,11,xx1128863,00   0,01  59,02  56,03  64,04  58,05  68,06  68,07  56
25,11,xx1128892,00   0,01  60,02  56,03  59,04  57,05  63,06  67,07  55
26,11,xx1128921,00   0,01  55,02  56,03  55,04  54,05  60,06  63,07  54
27,11,xx1128951,00   0,01  55,02  55,03  55,04  55,05  55,06  57,07  55
