,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx467595,00   0,01  59,02  56,03  83,04 101,05  66,06  64,07  54
1,11,xx467625,00   0,01  58,02  57,03  82,04 102,05  65,06  63,07  55
2,11,xx467654,00   0,01  56,02  58,03  81,04 103,05  63,06  63,07  56
3,11,xx467683,00   0,01  61,02  57,03  81,04 101,05  66,06  64,07  55
4,11,xx467712,00   0,01  55,02  57,03  82,04 103,05  65,06  65,07  56
5,11,xx467742,00   0,01  56,02  57,03  84,04 102,05  66,06  65,07  55
6,11,xx467771,00   0,01  54,02  57,03  81,04 101,05  66,06  64,07  56
7,11,xx467800,00   0,01  59,02  57,03  82,04 102,05  65,06  64,07  54
8,11,xx467830,00   0,01  57,02  57,03  82,04 102,05  65,06  61,07  55
9,11,xx467859,00   0,01  56,02  57,03  82,04 101,05  66,06  64,07  56
10,11,xx467888,00   0,01  59,02  56,03  81,04 104,05  65,06  64,07  56
11,11,xx467917,00   0,01  60,02  56,03  82,04 101,05  66,06  62,07  56
12,11,xx467947,00   0,01  60,02  56,03  82,04  98,05  65,06  64,07  56
13,11,xx467976,00   0,01  60,02  57,03  82,04  96,05  64,06  63,07  55
14,11,xx468005,00   0,01  60,02  58,03  82,04  94,05  64,06  64,07  54
15,11,xx468035,00   0,01  59,02  57,03  83,04  94,05  66,06  64,07  54
16,11,xx468064,00   0,01  60,02  57,03  82,04  91,05  66,06  65,07  56
17,11,xx468093,00   0,01  60,02  57,03  82,04  89,05  68,06  65,07  55
18,11,xx468123,00   0,01  59,02  56,03  79,04  86,05  67,06  65,07  56
19,11,xx468152,00   0,01  60,02  57,03  79,04  83,05  67,06  63,07  56
20,11,xx468181,00   0,01  61,02  58,03  75,04  77,05  68,06  65,07  56
21,11,xx468210,00   0,01  62,02  57,03  76,04  75,05  66,06  64,07  55
22,11,xx468240,00   0,01  62,02  56,03  75,04  73,05  69,06  64,07  55
23,11,xx468269,00   0,01  62,02  55,03  70,04  68,05  66,06  62,07  55
24,11,xx468298,00   0,01  61,02  57,03  67,04  64,05  66,06  65,07  54
25,11,xx468328,00   0,01  61,02  56,03  65,04  59,05  63,06  62,07  54
26,11,xx468357,00   0,01  61,02  56,03  59,04  58,05  64,06  64,07  54
27,11,xx468386,00   0,01  58,02  56,03  56,04  56,05  61,06  62,07  54
28,11,xx468416,00   0,01  57,02  56,03  56,04  56,05  60,06  60,07  56
29,11,xx468445,00   0,01  58,02  56,03  57,04  55,05  57,06  59,07  55
30,11,xx468474,00   0,01  55,02  55,03  57,04  55,05  56,06  56,07  55
31,11,xx468503,00   0,01  55,02  55,03  55,04  56,05  56,06  57,07  56
32,11,xx468533,00   0,01  55,02  55,03  54,04  56,05  55,06  54,07  55
33,11,xx468562,00   0,01  57,02  56,03  54,04  55,05  54,06  56,07  55
