,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx6203960,00   0,01  65,02  60,03 0,04  67,05  61,06  55,07  55
1,11,xx6203990,00   0,01  65,02 0,03  70,04  68,05  62,06  56,07  54
2,11,xx6204019,00   0,01  67,02  58,03  70,04  68,05  61,06  56,07  55
3,11,xx6204048,00   0,01  65,02  57,03  71,04  68,05  61,06  57,07  55
4,11,xx6204078,00   0,01  67,02  57,03  72,04  69,05  61,06  57,07  56
5,11,xx6204107,00   0,01  66,02  59,03  71,04  70,05  61,06  55,07  55
6,11,xx6204136,00   0,01  66,02  59,03  70,04  69,05  60,06  57,07  55
7,11,xx6204166,00   0,01  68,02  59,03  69,04  71,05  61,06  58,07  56
8,11,xx6204195,00   0,01  66,02  57,03  71,04  69,05  62,06  57,07  56
9,11,xx6204224,00   0,01  65,02  59,03  72,04  70,05  62,06  56,07  56
10,11,xx6204253,00   0,01  64,02  57,03  72,04  71,05  62,06  57,07  56
11,11,xx6204283,00   0,01  66,02  58,03  72,04  72,05  62,06  54,07  55
12,11,xx6204312,00   0,01  63,02  58,03  72,04  73,05  62,06  57,07  54
13,11,xx6204341,00   0,01  66,02  59,03  73,04  72,05  62,06  54,07  56
14,11,xx6204371,00   0,01  64,02  58,03  72,04  72,05  61,06  55,07  55
15,11,xx6204400,00   0,01  68,02  59,03  73,04  71,05  63,06  55,07  56
16,11,xx6204429,00   0,01  67,02  58,03  72,04  71,05  60,06  55,07  56
17,11,xx6204458,00   0,01  67,02  57,03  72,04  69,05  61,06  56,07  55
18,11,xx6204488,00   0,01  67,02  59,03  72,04  70,05  61,06  55,07  55
19,11,xx6204517,00   0,01  66,02  58,03  72,04  71,05  61,06  56,07  56
20,11,xx6204546,00   0,01  68,02  58,03  72,04  71,05  61,06  55,07  55
21,11,xx6204576,00   0,01  66,02  57,03  71,04  71,05  62,06  56,07  56
22,11,xx6204605,00   0,01  63,02  58,03  72,04  71,05  63,06  55,07  54
23,11,xx6204634,00   0,01  65,02  58,03  71,04  69,05  62,06  55,07  55
24,11,xx6204664,00   0,01  64,02  57,03  71,04  67,05  61,06  56,07  54
25,11,xx6204693,00   0,01  66,02  57,03  70,04  65,05  62,06  54,07  55
26,11,xx6204722,00   0,01  66,02  55,03  67,04  61,05  61,06  56,07  55
27,11,xx6204751,00   0,01  66,02  57,03  63,04  59,05  61,06  56,07  55
28,11,xx6204781,00   0,01  65,02  55,03  61,04  57,05  61,06  55,07  55
29,11,xx6204810,00   0,01  65,02  56,03  58,04  55,05  61,06  54,07  56
30,11,xx6204839,00   0,01  66,02  55,03  57,04  57,05  60,06  56,07  56
31,11,xx6204869,00   0,01  67,02  55,03  57,04  56,05  60,06  55,07  55
