,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx1678854,00   0,01  59,02  57,03  74,04  96,05  62,06  64,07  57
1,11,xx1678883,00   0,01  60,02  56,03  74,04  98,05  61,06  61,07  56
2,11,xx1678913,00   0,01  58,02  55,03  73,04  97,05  64,06  61,07  55
3,11,xx1678942,00   0,01  60,02  58,03  75,04  97,05  63,06  62,07  55
4,11,xx1678971,00   0,01  61,02  57,03  73,04  97,05  62,06  64,07  57
5,11,xx1679000,00   0,01  59,02  57,03  71,04  99,05  63,06  63,07  56
6,11,xx1679030,00   0,01  58,02  56,03  73,04 102,05  63,06  63,07  56
7,11,xx1679059,00   0,01  60,02  56,03  73,04 103,05  61,06  62,07  56
8,11,xx1679088,00   0,01  59,02  55,03  73,04 106,05  60,06  63,07  56
9,11,xx1679118,00   0,01  59,02  56,03  74,04 107,05  62,06  62,07  53
10,11,xx1679147,00   0,01  59,02  56,03  77,04 109,05  64,06  62,07  57
11,11,xx1679176,00   0,01  56,02  56,03  78,04 109,05  63,06  62,07  54
12,11,xx1679206,00   0,01  59,02  57,03  79,04 110,05  63,06  62,07  53
13,11,xx1679235,00   0,01  57,02  56,03  80,04 108,05  64,06  63,07  55
14,11,xx1679264,00   0,01  57,02  56,03  79,04 101,05  64,06  64,07  55
15,11,xx1679293,00   0,01  57,02  57,03  81,04  96,05  64,06  64,07  56
16,11,xx1679323,00   0,01  58,02  56,03  78,04  88,05  65,06  61,07  55
17,11,xx1679352,00   0,01  57,02  56,03  75,04  79,05  64,06  62,07  56
18,11,xx1679381,00   0,01  57,02  56,03  70,04  70,05  62,06  63,07  56
19,11,xx1679411,00   0,01  56,02  56,03  63,04  62,05  60,06  60,07  54
20,11,xx1679440,00   0,01  55,02  56,03  57,04  57,05  58,06  57,07  54
21,11,xx1679469,00   0,01  54,02  56,03  57,04  55,05  58,06  55,07  54
22,11,xx1679499,00   0,01  54,02  56,03  56,04  55,05  56,06  55,07  55
23,11,xx1679528,00   0,01  54,02  56,03  56,04  56,05  56,06  58,07  55
24,11,xx1679557,00   0,01  55,02  54,03  54,04  56,05  56,06  56,07  55
25,11,xx1679586,00   0,01  55,02  55,03  53,04  55,05  55,06  55,07  56
26,11,xx1679616,00   0,01  55,02  55,03  55,04  56,05  53,06  55,07  55
27,11,xx1679645,00   0,01  55,02  55,03  54,04  56,05  56,06  55,07  55
28,11,xx1679674,00   0,01  56,02  55,03  54,04  56,05  56,06  55,07  54
29,11,xx1679704,00   0,01  54,02  54,03  56,04  55,05  55,06  54,07  54
30,11,xx1679733,00   0,01  55,02  56,03  54,04  55,05  55,06  54,07  55
31,11,xx1679762,00   0,01  53,02  55,03  55,04  55,05  55,06  55,07  54
32,11,xx1679791,00   0,01  55,02  56,03  53,04  56,05  54,06  56,07  55
33,11,xx1679821,00   0,01  57,02  56,03  54,04  56,05  54,06  56,07  54
34,11,xx1679850,00   0,01  56,02  55,03  56,04  56,05  56,06  57,07  57
35,11,xx1679879,00   0,01  54,02  55,03  54,04  71,05  56,06  54,07  56
36,11,xx1679909,00   0,01  56,02  55,03  59,04 101,05  55,06  53,07  55
37,11,xx1679938,00   0,01  55,02  56,03  67,04 111,05  55,06  56,07  55
38,11,xx1679967,00   0,01  54,02  55,03  73,04 117,05  58,06  57,07  54
39,11,xx1679997,00   0,01  56,02  56,03  80,04 118,05  58,06  58,07  56
40,11,xx1680026,00   0,01  56,02  56,03  84,04 115,05  58,06  59,07  55
41,11,xx1680055,00   0,01  57,02  56,03  88,04 104,05  61,06  58,07  56
